date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:49:21	29503/29503	---M-Z	200	added ('OK')	text/html	etag:W/%22c7f4ddde7015742c6a5da563265bded4-gzip%22	http://zengins-stuff.weebly.com/contact-me.html	C:/My%20Web%20Sites/test/zengins-stuff.weebly.com/contact-me.html	(from http://zengins-stuff.weebly.com/)
17:49:26	30768/30768	---M--	200	added ('OK')	application/octet-stream	etag:%2261c21391-7830%22	http://cdn2.editmysite.com/fonts/SQ_Market/sqmarket-medium.woff2	C:/My%20Web%20Sites/test/cdn2.editmysite.com/fonts/SQ_Market/sqmarket-medium.woff2	(from http://zengins-stuff.weebly.com/)
17:49:27	41400/41400	---M--	200	added ('OK')	application/font-woff	etag:%2261c21391-a1b8%22	http://cdn2.editmysite.com/fonts/SQ_Market/sqmarket-medium.woff	C:/My%20Web%20Sites/test/cdn2.editmysite.com/fonts/SQ_Market/sqmarket-medium.woff	(from http://zengins-stuff.weebly.com/)
17:49:30	93636/93636	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/My%20Web%20Sites/test/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from http://zengins-stuff.weebly.com/)
17:49:44	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2005%20Jan%202022%2017:50:33%20GMT	https://www.weebly.com/signup?utm_source=internal&utm_medium=footer	C:/My%20Web%20Sites/test/www.weebly.com/signup.174661.delayed	(from http://zengins-stuff.weebly.com/)
17:49:49	1142/1142	---MC-	302	error ('Found')	text/html	date:Wed,%2005%20Jan%202022%2017:50:51%20GMT	https://www.weebly.com/app/front-door/signup	C:/My%20Web%20Sites/test/www.weebly.com/app/front-door/signup.18.delayed	(from http://zengins-stuff.weebly.com/)
17:50:09	1096635/1096635	---M--	200	added ('OK')	image/png	etag:%224a24d1796348cff07462a8d859ed3c92%22	http://zengins-stuff.weebly.com/uploads/8/2/9/9/82999774/background-images/1290298803.png	C:/My%20Web%20Sites/test/zengins-stuff.weebly.com/uploads/8/2/9/9/82999774/background-images/1290298803.png	(from http://zengins-stuff.weebly.com/)
17:50:09	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2005%20Jan%202022%2017:50:56%20GMT	https://squareup.com/logout?return_to=https://squareup.com/signup?v%3Dweebly-sso%26weebly_sso_enabled%3Dtrue%26app%3Dweebly%26return_to%3Dhttps%3A%2F%2Fwww.weebly.com%2Fapp%2Ffront-door%2Flogin%2Fsquare%3Fsso_intent%3Dsignup	C:/My%20Web%20Sites/test/squareup.com/logout.19c163.delayed	(from http://zengins-stuff.weebly.com/)
17:50:16	270/270	---MC-	302	error ('Found')	text/html	date:Wed,%2005%20Jan%202022%2017:51:22%20GMT	https://squareup.com/signup?v=weebly-sso&weebly_sso_enabled=true&app=weebly&return_to=https://www.weebly.com/app/front-door/login/square?sso_intent=signup	C:/My%20Web%20Sites/test/squareup.com/signup.1a9117.delayed	(from http://zengins-stuff.weebly.com/)
17:50:17	9677/9677	---M--	200	added ('OK')	image/png	etag:%226e0f7ad31bf187e0d88fc5787573ba71%22	http://cdn2.editmysite.com/images/site/footer/footer-toast-published-image-1.png	C:/My%20Web%20Sites/test/cdn2.editmysite.com/images/site/footer/footer-toast-published-image-1.png	(from http://zengins-stuff.weebly.com/)
17:50:17	31126/31126	---MCZ	200	added ('OK')	text/html	etag:W/%226f83b2070c2675f4d0e620a39508cfcb%22	https://squareup.com/signup?app=weebly&country_code=gb&return_to=https%3A%2F%2Fwww.weebly.com%2Fapp%2Ffront-door%2Flogin%2Fsquare%3Fsso_intent%3Dsignup&v=weebly-sso&weebly_sso_enabled=true	C:/My%20Web%20Sites/test/squareup.com/signupec78.html	(from http://zengins-stuff.weebly.com/)
17:50:17	3600/3600	---M-Z	200	added ('OK')	application/x-javascript	etag:%2261c21392-e10%22	http://cdn2.editmysite.com/js/site/footerSignup.js?buildTime=1640035830	C:/My%20Web%20Sites/test/cdn2.editmysite.com/js/site/footerSignupd8de.js	(from http://zengins-stuff.weebly.com/)
17:50:18	87318/87318	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c8a26f413525e51e0716d20f48b9146%22	http://zengins-stuff.weebly.com/files/theme/plugins.js?1481230311	C:/My%20Web%20Sites/test/zengins-stuff.weebly.com/files/theme/plugins9948.js	(from http://zengins-stuff.weebly.com/)
17:50:18	5442/5442	---MCZ	200	added ('OK')	text/css	etag:W/%22601d14e35387be6ef5e30dfb1c8a8184%22	http://zengins-stuff.weebly.com/files/theme/custom.js?1481230311	C:/My%20Web%20Sites/test/zengins-stuff.weebly.com/files/theme/custom9948.css	(from http://zengins-stuff.weebly.com/)
